"Active People","Jailed People","Quiet People","tick"
1005.0,0.0,115.0,1.0
610.0,478.0,32.0,2.0
399.0,681.0,40.0,3.0
316.0,758.0,46.0,4.0
289.0,782.0,49.0,5.0
233.0,833.0,54.0,6.0
212.0,855.0,53.0,7.0
204.0,856.0,60.0,8.0
194.0,853.0,73.0,9.0
181.0,861.0,78.0,10.0
174.0,861.0,85.0,11.0
168.0,871.0,81.0,12.0
158.0,884.0,78.0,13.0
165.0,881.0,74.0,14.0
154.0,879.0,87.0,15.0
147.0,881.0,92.0,16.0
145.0,890.0,85.0,17.0
151.0,900.0,69.0,18.0
133.0,891.0,96.0,19.0
145.0,868.0,107.0,20.0
173.0,843.0,104.0,21.0
181.0,839.0,100.0,22.0
176.0,842.0,102.0,23.0
180.0,837.0,103.0,24.0
202.0,815.0,103.0,25.0
200.0,813.0,107.0,26.0
198.0,803.0,119.0,27.0
225.0,792.0,103.0,28.0
218.0,799.0,103.0,29.0
222.0,806.0,92.0,30.0
205.0,803.0,112.0,31.0
205.0,811.0,104.0,32.0
212.0,821.0,87.0,33.0
204.0,821.0,95.0,34.0
203.0,821.0,96.0,35.0
198.0,842.0,80.0,36.0
186.0,847.0,87.0,37.0
192.0,860.0,68.0,38.0
157.0,881.0,82.0,39.0
141.0,883.0,96.0,40.0
132.0,892.0,96.0,41.0
146.0,889.0,85.0,42.0
150.0,896.0,74.0,43.0
140.0,899.0,81.0,44.0
144.0,902.0,74.0,45.0
139.0,879.0,102.0,46.0
161.0,858.0,101.0,47.0
174.0,845.0,101.0,48.0
169.0,846.0,105.0,49.0
183.0,824.0,113.0,50.0
187.0,836.0,97.0,51.0
177.0,849.0,94.0,52.0
182.0,833.0,105.0,53.0
184.0,832.0,104.0,54.0
189.0,840.0,91.0,55.0
200.0,845.0,75.0,56.0
172.0,852.0,96.0,57.0
182.0,845.0,93.0,58.0
184.0,836.0,100.0,59.0
177.0,849.0,94.0,60.0
189.0,827.0,104.0,61.0
208.0,817.0,95.0,62.0
208.0,820.0,92.0,63.0
199.0,810.0,111.0,64.0
216.0,802.0,102.0,65.0
204.0,807.0,109.0,66.0
211.0,797.0,112.0,67.0
236.0,781.0,103.0,68.0
226.0,809.0,85.0,69.0
208.0,815.0,97.0,70.0
233.0,797.0,90.0,71.0
219.0,803.0,98.0,72.0
229.0,788.0,103.0,73.0
237.0,771.0,112.0,74.0
235.0,760.0,125.0,75.0
243.0,776.0,101.0,76.0
258.0,768.0,94.0,77.0
266.0,758.0,96.0,78.0
278.0,744.0,98.0,79.0
282.0,745.0,93.0,80.0
290.0,731.0,99.0,81.0
280.0,742.0,98.0,82.0
285.0,735.0,100.0,83.0
280.0,740.0,100.0,84.0
270.0,746.0,104.0,85.0
276.0,757.0,87.0,86.0
267.0,741.0,112.0,87.0
280.0,738.0,102.0,88.0
288.0,735.0,97.0,89.0
287.0,745.0,88.0,90.0
281.0,761.0,78.0,91.0
250.0,782.0,88.0,92.0
255.0,782.0,83.0,93.0
231.0,789.0,100.0,94.0
222.0,786.0,112.0,95.0
246.0,776.0,98.0,96.0
237.0,783.0,100.0,97.0
241.0,797.0,82.0,98.0
237.0,785.0,98.0,99.0
253.0,777.0,90.0,100.0
236.0,792.0,92.0,101.0
230.0,782.0,108.0,102.0
237.0,779.0,104.0,103.0
253.0,772.0,95.0,104.0
239.0,780.0,101.0,105.0
239.0,797.0,84.0,106.0
207.0,834.0,79.0,107.0
177.0,855.0,88.0,108.0
182.0,864.0,74.0,109.0
168.0,875.0,77.0,110.0
164.0,860.0,96.0,111.0
176.0,868.0,76.0,112.0
150.0,881.0,89.0,113.0
137.0,873.0,110.0,114.0
162.0,856.0,102.0,115.0
167.0,850.0,103.0,116.0
173.0,846.0,101.0,117.0
183.0,828.0,109.0,118.0
198.0,824.0,98.0,119.0
180.0,852.0,88.0,120.0
178.0,857.0,85.0,121.0
176.0,873.0,71.0,122.0
166.0,857.0,97.0,123.0
183.0,826.0,111.0,124.0
194.0,825.0,101.0,125.0
193.0,808.0,119.0,126.0
218.0,821.0,81.0,127.0
185.0,826.0,109.0,128.0
197.0,829.0,94.0,129.0
196.0,821.0,103.0,130.0
182.0,823.0,115.0,131.0
201.0,820.0,99.0,132.0
191.0,836.0,93.0,133.0
178.0,836.0,106.0,134.0
192.0,822.0,106.0,135.0
212.0,819.0,89.0,136.0
196.0,826.0,98.0,137.0
211.0,815.0,94.0,138.0
210.0,794.0,116.0,139.0
243.0,789.0,88.0,140.0
218.0,818.0,84.0,141.0
228.0,807.0,85.0,142.0
213.0,813.0,94.0,143.0
191.0,824.0,105.0,144.0
210.0,827.0,83.0,145.0
182.0,832.0,106.0,146.0
200.0,814.0,106.0,147.0
204.0,820.0,96.0,148.0
205.0,807.0,108.0,149.0
221.0,793.0,106.0,150.0
