"Active People","Jailed People","Quiet People","tick"
1064.0,0.0,56.0,1.0
733.0,370.0,17.0,2.0
544.0,550.0,26.0,3.0
458.0,632.0,30.0,4.0
371.0,718.0,31.0,5.0
323.0,737.0,60.0,6.0
305.0,773.0,42.0,7.0
278.0,804.0,38.0,8.0
244.0,823.0,53.0,9.0
246.0,822.0,52.0,10.0
238.0,834.0,48.0,11.0
231.0,837.0,52.0,12.0
223.0,850.0,47.0,13.0
227.0,850.0,43.0,14.0
203.0,859.0,58.0,15.0
216.0,850.0,54.0,16.0
218.0,829.0,73.0,17.0
238.0,817.0,65.0,18.0
255.0,799.0,66.0,19.0
266.0,778.0,76.0,20.0
284.0,772.0,64.0,21.0
301.0,752.0,67.0,22.0
308.0,748.0,64.0,23.0
308.0,749.0,63.0,24.0
302.0,739.0,79.0,25.0
328.0,722.0,70.0,26.0
338.0,706.0,76.0,27.0
344.0,704.0,72.0,28.0
343.0,697.0,80.0,29.0
329.0,701.0,90.0,30.0
335.0,698.0,87.0,31.0
337.0,700.0,83.0,32.0
345.0,715.0,60.0,33.0
334.0,721.0,65.0,34.0
327.0,728.0,65.0,35.0
324.0,725.0,71.0,36.0
330.0,714.0,76.0,37.0
340.0,717.0,63.0,38.0
344.0,720.0,56.0,39.0
342.0,723.0,55.0,40.0
336.0,717.0,67.0,41.0
350.0,702.0,68.0,42.0
344.0,719.0,57.0,43.0
308.0,750.0,62.0,44.0
289.0,766.0,65.0,45.0
271.0,779.0,70.0,46.0
275.0,773.0,72.0,47.0
267.0,793.0,60.0,48.0
251.0,802.0,67.0,49.0
251.0,800.0,69.0,50.0
236.0,805.0,79.0,51.0
233.0,809.0,78.0,52.0
228.0,814.0,78.0,53.0
242.0,819.0,59.0,54.0
231.0,812.0,77.0,55.0
257.0,794.0,69.0,56.0
260.0,798.0,62.0,57.0
253.0,798.0,69.0,58.0
268.0,783.0,69.0,59.0
268.0,773.0,79.0,60.0
300.0,741.0,79.0,61.0
305.0,749.0,66.0,62.0
306.0,756.0,58.0,63.0
292.0,752.0,76.0,64.0
283.0,761.0,76.0,65.0
273.0,780.0,67.0,66.0
237.0,814.0,69.0,67.0
229.0,830.0,61.0,68.0
223.0,830.0,67.0,69.0
210.0,856.0,54.0,70.0
217.0,836.0,67.0,71.0
236.0,812.0,72.0,72.0
244.0,777.0,99.0,73.0
265.0,783.0,72.0,74.0
252.0,793.0,75.0,75.0
251.0,807.0,62.0,76.0
231.0,818.0,71.0,77.0
223.0,827.0,70.0,78.0
240.0,800.0,80.0,79.0
246.0,812.0,62.0,80.0
238.0,819.0,63.0,81.0
233.0,800.0,87.0,82.0
271.0,778.0,71.0,83.0
270.0,784.0,66.0,84.0
254.0,796.0,70.0,85.0
258.0,786.0,76.0,86.0
266.0,775.0,79.0,87.0
272.0,766.0,82.0,88.0
281.0,765.0,74.0,89.0
285.0,766.0,69.0,90.0
286.0,755.0,79.0,91.0
290.0,754.0,76.0,92.0
291.0,752.0,77.0,93.0
279.0,783.0,58.0,94.0
252.0,788.0,80.0,95.0
260.0,796.0,64.0,96.0
245.0,814.0,61.0,97.0
227.0,814.0,79.0,98.0
251.0,811.0,58.0,99.0
225.0,833.0,62.0,100.0
239.0,805.0,76.0,101.0
258.0,794.0,68.0,102.0
254.0,805.0,61.0,103.0
228.0,826.0,66.0,104.0
226.0,821.0,73.0,105.0
225.0,825.0,70.0,106.0
225.0,809.0,86.0,107.0
245.0,805.0,70.0,108.0
258.0,803.0,59.0,109.0
245.0,818.0,57.0,110.0
234.0,819.0,67.0,111.0
241.0,808.0,71.0,112.0
246.0,806.0,68.0,113.0
251.0,795.0,74.0,114.0
262.0,791.0,67.0,115.0
254.0,795.0,71.0,116.0
248.0,798.0,74.0,117.0
257.0,776.0,87.0,118.0
287.0,760.0,73.0,119.0
282.0,759.0,79.0,120.0
278.0,772.0,70.0,121.0
273.0,771.0,76.0,122.0
269.0,777.0,74.0,123.0
271.0,793.0,56.0,124.0
268.0,787.0,65.0,125.0
260.0,786.0,74.0,126.0
272.0,779.0,69.0,127.0
280.0,775.0,65.0,128.0
276.0,773.0,71.0,129.0
265.0,792.0,63.0,130.0
252.0,785.0,83.0,131.0
267.0,776.0,77.0,132.0
268.0,786.0,66.0,133.0
263.0,785.0,72.0,134.0
272.0,770.0,78.0,135.0
265.0,800.0,55.0,136.0
247.0,810.0,63.0,137.0
248.0,792.0,80.0,138.0
273.0,771.0,76.0,139.0
284.0,770.0,66.0,140.0
289.0,763.0,68.0,141.0
306.0,763.0,51.0,142.0
273.0,789.0,58.0,143.0
278.0,777.0,65.0,144.0
279.0,776.0,65.0,145.0
272.0,754.0,94.0,146.0
293.0,745.0,82.0,147.0
308.0,754.0,58.0,148.0
314.0,745.0,61.0,149.0
306.0,748.0,66.0,150.0
