"Active People","Jailed People","Quiet People","tick"
1032.0,0.0,88.0,1.0
616.0,464.0,40.0,2.0
416.0,668.0,36.0,3.0
314.0,766.0,40.0,4.0
232.0,831.0,57.0,5.0
191.0,869.0,60.0,6.0
162.0,878.0,80.0,7.0
158.0,888.0,74.0,8.0
162.0,880.0,78.0,9.0
168.0,883.0,69.0,10.0
142.0,915.0,63.0,11.0
128.0,915.0,77.0,12.0
130.0,909.0,81.0,13.0
143.0,903.0,74.0,14.0
139.0,896.0,85.0,15.0
147.0,881.0,92.0,16.0
148.0,866.0,106.0,17.0
163.0,867.0,90.0,18.0
151.0,861.0,108.0,19.0
174.0,852.0,94.0,20.0
162.0,857.0,101.0,21.0
169.0,845.0,106.0,22.0
173.0,853.0,94.0,23.0
152.0,866.0,102.0,24.0
163.0,846.0,111.0,25.0
185.0,814.0,121.0,26.0
220.0,806.0,94.0,27.0
211.0,804.0,105.0,28.0
228.0,797.0,95.0,29.0
195.0,815.0,110.0,30.0
219.0,795.0,106.0,31.0
214.0,797.0,109.0,32.0
218.0,806.0,96.0,33.0
212.0,824.0,84.0,34.0
197.0,834.0,89.0,35.0
207.0,833.0,80.0,36.0
186.0,848.0,86.0,37.0
195.0,825.0,100.0,38.0
201.0,831.0,88.0,39.0
209.0,820.0,91.0,40.0
199.0,838.0,83.0,41.0
175.0,846.0,99.0,42.0
202.0,824.0,94.0,43.0
193.0,843.0,84.0,44.0
172.0,856.0,92.0,45.0
186.0,837.0,97.0,46.0
179.0,842.0,99.0,47.0
176.0,838.0,106.0,48.0
207.0,815.0,98.0,49.0
201.0,820.0,99.0,50.0
206.0,809.0,105.0,51.0
218.0,808.0,94.0,52.0
207.0,822.0,91.0,53.0
209.0,825.0,86.0,54.0
205.0,820.0,95.0,55.0
208.0,819.0,93.0,56.0
191.0,819.0,110.0,57.0
204.0,822.0,94.0,58.0
197.0,837.0,86.0,59.0
184.0,852.0,84.0,60.0
182.0,860.0,78.0,61.0
188.0,858.0,74.0,62.0
159.0,860.0,101.0,63.0
177.0,843.0,100.0,64.0
183.0,843.0,94.0,65.0
173.0,854.0,93.0,66.0
177.0,845.0,98.0,67.0
168.0,852.0,100.0,68.0
151.0,870.0,99.0,69.0
142.0,880.0,98.0,70.0
151.0,872.0,97.0,71.0
170.0,856.0,94.0,72.0
173.0,850.0,97.0,73.0
169.0,869.0,82.0,74.0
155.0,868.0,97.0,75.0
152.0,859.0,109.0,76.0
184.0,846.0,90.0,77.0
180.0,851.0,89.0,78.0
183.0,850.0,87.0,79.0
185.0,844.0,91.0,80.0
188.0,848.0,84.0,81.0
196.0,833.0,91.0,82.0
196.0,830.0,94.0,83.0
181.0,836.0,103.0,84.0
176.0,852.0,92.0,85.0
159.0,847.0,114.0,86.0
164.0,847.0,109.0,87.0
189.0,828.0,103.0,88.0
175.0,838.0,107.0,89.0
179.0,826.0,115.0,90.0
195.0,814.0,111.0,91.0
188.0,814.0,118.0,92.0
203.0,809.0,108.0,93.0
190.0,819.0,111.0,94.0
213.0,826.0,81.0,95.0
189.0,840.0,91.0,96.0
192.0,834.0,94.0,97.0
186.0,849.0,85.0,98.0
160.0,853.0,107.0,99.0
183.0,843.0,94.0,100.0
160.0,874.0,86.0,101.0
161.0,865.0,94.0,102.0
174.0,867.0,79.0,103.0
169.0,857.0,94.0,104.0
179.0,856.0,85.0,105.0
171.0,847.0,102.0,106.0
175.0,851.0,94.0,107.0
167.0,860.0,93.0,108.0
146.0,876.0,98.0,109.0
149.0,879.0,92.0,110.0
137.0,890.0,93.0,111.0
148.0,878.0,94.0,112.0
160.0,859.0,101.0,113.0
154.0,871.0,95.0,114.0
151.0,856.0,113.0,115.0
185.0,835.0,100.0,116.0
173.0,848.0,99.0,117.0
188.0,842.0,90.0,118.0
175.0,850.0,95.0,119.0
152.0,864.0,104.0,120.0
170.0,858.0,92.0,121.0
164.0,861.0,95.0,122.0
165.0,856.0,99.0,123.0
162.0,860.0,98.0,124.0
156.0,870.0,94.0,125.0
170.0,855.0,95.0,126.0
176.0,850.0,94.0,127.0
167.0,849.0,104.0,128.0
166.0,837.0,117.0,129.0
171.0,827.0,122.0,130.0
195.0,823.0,102.0,131.0
181.0,835.0,104.0,132.0
180.0,848.0,92.0,133.0
171.0,845.0,104.0,134.0
177.0,841.0,102.0,135.0
177.0,849.0,94.0,136.0
160.0,866.0,94.0,137.0
152.0,860.0,108.0,138.0
169.0,842.0,109.0,139.0
166.0,844.0,110.0,140.0
170.0,857.0,93.0,141.0
160.0,873.0,87.0,142.0
139.0,871.0,110.0,143.0
159.0,852.0,109.0,144.0
179.0,842.0,99.0,145.0
171.0,846.0,103.0,146.0
188.0,838.0,94.0,147.0
187.0,831.0,102.0,148.0
187.0,842.0,91.0,149.0
178.0,854.0,88.0,150.0
