"Active People","Jailed People","Quiet People","tick"
951.0,0.0,169.0,1.0
474.0,586.0,60.0,2.0
226.0,813.0,81.0,3.0
185.0,865.0,70.0,4.0
168.0,886.0,66.0,5.0
118.0,915.0,87.0,6.0
107.0,922.0,91.0,7.0
94.0,927.0,99.0,8.0
113.0,919.0,88.0,9.0
108.0,915.0,97.0,10.0
106.0,925.0,89.0,11.0
79.0,936.0,105.0,12.0
93.0,910.0,117.0,13.0
102.0,894.0,124.0,14.0
128.0,878.0,114.0,15.0
138.0,860.0,122.0,16.0
136.0,864.0,120.0,17.0
139.0,848.0,133.0,18.0
158.0,831.0,131.0,19.0
149.0,849.0,122.0,20.0
153.0,855.0,112.0,21.0
137.0,849.0,134.0,22.0
161.0,828.0,131.0,23.0
169.0,816.0,135.0,24.0
173.0,804.0,143.0,25.0
188.0,794.0,138.0,26.0
184.0,785.0,151.0,27.0
190.0,791.0,139.0,28.0
184.0,788.0,148.0,29.0
188.0,770.0,162.0,30.0
225.0,739.0,156.0,31.0
249.0,744.0,127.0,32.0
219.0,778.0,123.0,33.0
206.0,799.0,115.0,34.0
183.0,817.0,120.0,35.0
176.0,817.0,127.0,36.0
176.0,812.0,132.0,37.0
168.0,814.0,138.0,38.0
163.0,804.0,153.0,39.0
184.0,794.0,142.0,40.0
197.0,793.0,130.0,41.0
179.0,813.0,128.0,42.0
180.0,810.0,130.0,43.0
195.0,811.0,114.0,44.0
163.0,819.0,138.0,45.0
180.0,799.0,141.0,46.0
184.0,784.0,152.0,47.0
210.0,774.0,136.0,48.0
208.0,781.0,131.0,49.0
213.0,785.0,122.0,50.0
190.0,783.0,147.0,51.0
220.0,786.0,114.0,52.0
199.0,809.0,112.0,53.0
181.0,825.0,114.0,54.0
182.0,819.0,119.0,55.0
194.0,819.0,107.0,56.0
175.0,831.0,114.0,57.0
192.0,802.0,126.0,58.0
217.0,784.0,119.0,59.0
212.0,768.0,140.0,60.0
231.0,748.0,141.0,61.0
246.0,751.0,123.0,62.0
232.0,760.0,128.0,63.0
238.0,765.0,117.0,64.0
225.0,767.0,128.0,65.0
220.0,772.0,128.0,66.0
214.0,782.0,124.0,67.0
191.0,794.0,135.0,68.0
192.0,776.0,152.0,69.0
205.0,774.0,141.0,70.0
200.0,784.0,136.0,71.0
198.0,795.0,127.0,72.0
182.0,804.0,134.0,73.0
180.0,808.0,132.0,74.0
168.0,808.0,144.0,75.0
190.0,794.0,136.0,76.0
174.0,808.0,138.0,77.0
176.0,814.0,130.0,78.0
178.0,813.0,129.0,79.0
169.0,837.0,114.0,80.0
160.0,831.0,129.0,81.0
174.0,817.0,129.0,82.0
163.0,830.0,127.0,83.0
174.0,838.0,108.0,84.0
152.0,841.0,127.0,85.0
168.0,832.0,120.0,86.0
179.0,811.0,130.0,87.0
185.0,820.0,115.0,88.0
170.0,821.0,129.0,89.0
183.0,823.0,114.0,90.0
191.0,824.0,105.0,91.0
183.0,818.0,119.0,92.0
188.0,810.0,122.0,93.0
209.0,812.0,99.0,94.0
195.0,805.0,120.0,95.0
196.0,793.0,131.0,96.0
199.0,791.0,130.0,97.0
223.0,772.0,125.0,98.0
193.0,801.0,126.0,99.0
179.0,808.0,133.0,100.0
201.0,782.0,137.0,101.0
222.0,774.0,124.0,102.0
211.0,788.0,121.0,103.0
184.0,803.0,133.0,104.0
233.0,772.0,115.0,105.0
226.0,778.0,116.0,106.0
211.0,800.0,109.0,107.0
212.0,802.0,106.0,108.0
185.0,826.0,109.0,109.0
177.0,820.0,123.0,110.0
159.0,842.0,119.0,111.0
149.0,834.0,137.0,112.0
146.0,845.0,129.0,113.0
153.0,849.0,118.0,114.0
138.0,861.0,121.0,115.0
138.0,853.0,129.0,116.0
138.0,846.0,136.0,117.0
142.0,846.0,132.0,118.0
150.0,850.0,120.0,119.0
147.0,838.0,135.0,120.0
187.0,807.0,126.0,121.0
174.0,841.0,105.0,122.0
176.0,825.0,119.0,123.0
172.0,825.0,123.0,124.0
182.0,809.0,129.0,125.0
179.0,828.0,113.0,126.0
172.0,830.0,118.0,127.0
156.0,823.0,141.0,128.0
188.0,798.0,134.0,129.0
193.0,818.0,109.0,130.0
174.0,820.0,126.0,131.0
177.0,823.0,120.0,132.0
165.0,835.0,120.0,133.0
170.0,828.0,122.0,134.0
156.0,834.0,130.0,135.0
148.0,829.0,143.0,136.0
160.0,824.0,136.0,137.0
179.0,813.0,128.0,138.0
175.0,814.0,131.0,139.0
186.0,799.0,135.0,140.0
171.0,810.0,139.0,141.0
186.0,805.0,129.0,142.0
158.0,839.0,123.0,143.0
147.0,838.0,135.0,144.0
154.0,812.0,154.0,145.0
181.0,807.0,132.0,146.0
163.0,829.0,128.0,147.0
165.0,817.0,138.0,148.0
169.0,820.0,131.0,149.0
169.0,827.0,124.0,150.0
