"Active People","Jailed People","Quiet People","tick"
1120.0,0.0,0.0,1.0
145.0,944.0,31.0,2.0
80.0,1011.0,29.0,3.0
43.0,1033.0,44.0,4.0
53.0,1033.0,34.0,5.0
44.0,1032.0,44.0,6.0
52.0,1025.0,43.0,7.0
50.0,1024.0,46.0,8.0
53.0,1014.0,53.0,9.0
63.0,1016.0,41.0,10.0
53.0,1015.0,52.0,11.0
63.0,1002.0,55.0,12.0
67.0,997.0,56.0,13.0
81.0,988.0,51.0,14.0
82.0,992.0,46.0,15.0
60.0,1001.0,59.0,16.0
65.0,1000.0,55.0,17.0
68.0,990.0,62.0,18.0
70.0,986.0,64.0,19.0
72.0,978.0,70.0,20.0
92.0,960.0,68.0,21.0
83.0,970.0,67.0,22.0
81.0,969.0,70.0,23.0
82.0,979.0,59.0,24.0
68.0,973.0,79.0,25.0
91.0,967.0,62.0,26.0
79.0,951.0,90.0,27.0
107.0,914.0,99.0,28.0
111.0,923.0,86.0,29.0
99.0,934.0,87.0,30.0
103.0,921.0,96.0,31.0
77.0,937.0,106.0,32.0
83.0,955.0,82.0,33.0
60.0,968.0,92.0,34.0
65.0,968.0,87.0,35.0
68.0,960.0,92.0,36.0
76.0,931.0,113.0,37.0
89.0,923.0,108.0,38.0
79.0,938.0,103.0,39.0
76.0,941.0,103.0,40.0
76.0,922.0,122.0,41.0
88.0,913.0,119.0,42.0
87.0,928.0,105.0,43.0
69.0,923.0,128.0,44.0
90.0,911.0,119.0,45.0
91.0,908.0,121.0,46.0
97.0,912.0,111.0,47.0
88.0,924.0,108.0,48.0
81.0,922.0,117.0,49.0
82.0,920.0,118.0,50.0
81.0,905.0,134.0,51.0
100.0,899.0,121.0,52.0
90.0,895.0,135.0,53.0
86.0,898.0,136.0,54.0
78.0,916.0,126.0,55.0
73.0,908.0,139.0,56.0
80.0,891.0,149.0,57.0
91.0,885.0,144.0,58.0
88.0,888.0,144.0,59.0
84.0,901.0,135.0,60.0
79.0,891.0,150.0,61.0
84.0,882.0,154.0,62.0
89.0,890.0,141.0,63.0
82.0,889.0,149.0,64.0
98.0,865.0,157.0,65.0
88.0,882.0,150.0,66.0
85.0,877.0,158.0,67.0
86.0,887.0,147.0,68.0
76.0,892.0,152.0,69.0
82.0,883.0,155.0,70.0
85.0,886.0,149.0,71.0
76.0,884.0,160.0,72.0
78.0,872.0,170.0,73.0
81.0,872.0,167.0,74.0
84.0,860.0,176.0,75.0
87.0,871.0,162.0,76.0
73.0,885.0,162.0,77.0
73.0,888.0,159.0,78.0
66.0,896.0,158.0,79.0
61.0,890.0,169.0,80.0
70.0,886.0,164.0,81.0
66.0,901.0,153.0,82.0
60.0,896.0,164.0,83.0
72.0,871.0,177.0,84.0
83.0,870.0,167.0,85.0
82.0,874.0,164.0,86.0
83.0,863.0,174.0,87.0
93.0,848.0,179.0,88.0
104.0,839.0,177.0,89.0
91.0,856.0,173.0,90.0
101.0,842.0,177.0,91.0
97.0,842.0,181.0,92.0
87.0,857.0,176.0,93.0
81.0,845.0,194.0,94.0
92.0,842.0,186.0,95.0
84.0,850.0,186.0,96.0
75.0,856.0,189.0,97.0
83.0,855.0,182.0,98.0
72.0,865.0,183.0,99.0
74.0,859.0,187.0,100.0
77.0,858.0,185.0,101.0
68.0,864.0,188.0,102.0
77.0,845.0,198.0,103.0
82.0,842.0,196.0,104.0
84.0,837.0,199.0,105.0
91.0,840.0,189.0,106.0
79.0,845.0,196.0,107.0
81.0,840.0,199.0,108.0
79.0,863.0,178.0,109.0
52.0,882.0,186.0,110.0
63.0,868.0,189.0,111.0
67.0,858.0,195.0,112.0
72.0,853.0,195.0,113.0
73.0,849.0,198.0,114.0
78.0,865.0,177.0,115.0
53.0,870.0,197.0,116.0
68.0,843.0,209.0,117.0
81.0,844.0,195.0,118.0
66.0,861.0,193.0,119.0
61.0,870.0,189.0,120.0
57.0,860.0,203.0,121.0
70.0,849.0,201.0,122.0
71.0,835.0,214.0,123.0
86.0,829.0,205.0,124.0
73.0,841.0,206.0,125.0
75.0,844.0,201.0,126.0
65.0,848.0,207.0,127.0
74.0,836.0,210.0,128.0
76.0,833.0,211.0,129.0
81.0,820.0,219.0,130.0
94.0,817.0,209.0,131.0
76.0,832.0,212.0,132.0
75.0,842.0,203.0,133.0
64.0,847.0,209.0,134.0
67.0,851.0,202.0,135.0
54.0,843.0,223.0,136.0
77.0,841.0,202.0,137.0
53.0,857.0,210.0,138.0
58.0,853.0,209.0,139.0
63.0,839.0,218.0,140.0
70.0,833.0,217.0,141.0
73.0,835.0,212.0,142.0
78.0,834.0,208.0,143.0
80.0,839.0,201.0,144.0
67.0,826.0,227.0,145.0
88.0,807.0,225.0,146.0
90.0,810.0,220.0,147.0
88.0,802.0,230.0,148.0
93.0,816.0,211.0,149.0
77.0,825.0,218.0,150.0
80.0,828.0,212.0,151.0
72.0,823.0,225.0,152.0
84.0,809.0,227.0,153.0
83.0,811.0,226.0,154.0
85.0,807.0,228.0,155.0
84.0,815.0,221.0,156.0
76.0,817.0,227.0,157.0
77.0,805.0,238.0,158.0
88.0,809.0,223.0,159.0
75.0,837.0,208.0,160.0
58.0,843.0,219.0,161.0
64.0,843.0,213.0,162.0
56.0,828.0,236.0,163.0
74.0,823.0,223.0,164.0
61.0,846.0,213.0,165.0
60.0,827.0,233.0,166.0
87.0,827.0,206.0,167.0
60.0,825.0,235.0,168.0
88.0,792.0,240.0,169.0
97.0,806.0,217.0,170.0
72.0,826.0,222.0,171.0
74.0,818.0,228.0,172.0
73.0,837.0,210.0,173.0
61.0,824.0,235.0,174.0
85.0,803.0,232.0,175.0
75.0,811.0,234.0,176.0
79.0,818.0,223.0,177.0
70.0,828.0,222.0,178.0
71.0,829.0,220.0,179.0
70.0,815.0,235.0,180.0
84.0,800.0,236.0,181.0
91.0,804.0,225.0,182.0
73.0,816.0,231.0,183.0
77.0,801.0,242.0,184.0
90.0,800.0,230.0,185.0
83.0,809.0,228.0,186.0
85.0,803.0,232.0,187.0
90.0,806.0,224.0,188.0
72.0,810.0,238.0,189.0
85.0,817.0,218.0,190.0
66.0,828.0,226.0,191.0
66.0,829.0,225.0,192.0
65.0,822.0,233.0,193.0
70.0,830.0,220.0,194.0
58.0,835.0,227.0,195.0
66.0,813.0,241.0,196.0
80.0,817.0,223.0,197.0
61.0,823.0,236.0,198.0
70.0,814.0,236.0,199.0
69.0,825.0,226.0,200.0
60.0,831.0,229.0,201.0
66.0,824.0,230.0,202.0
65.0,832.0,223.0,203.0
57.0,843.0,220.0,204.0
52.0,816.0,252.0,205.0
86.0,805.0,229.0,206.0
69.0,808.0,243.0,207.0
81.0,797.0,242.0,208.0
83.0,800.0,237.0,209.0
80.0,809.0,231.0,210.0
65.0,823.0,232.0,211.0
73.0,818.0,229.0,212.0
59.0,825.0,236.0,213.0
71.0,800.0,249.0,214.0
84.0,804.0,232.0,215.0
63.0,820.0,237.0,216.0
75.0,796.0,249.0,217.0
88.0,801.0,231.0,218.0
69.0,809.0,242.0,219.0
82.0,797.0,241.0,220.0
76.0,811.0,233.0,221.0
61.0,816.0,243.0,222.0
69.0,802.0,249.0,223.0
76.0,796.0,248.0,224.0
77.0,799.0,244.0,225.0
76.0,805.0,239.0,226.0
68.0,804.0,248.0,227.0
75.0,807.0,238.0,228.0
66.0,811.0,243.0,229.0
64.0,809.0,247.0,230.0
71.0,799.0,250.0,231.0
81.0,791.0,248.0,232.0
86.0,794.0,240.0,233.0
70.0,808.0,242.0,234.0
72.0,809.0,239.0,235.0
67.0,805.0,248.0,236.0
74.0,797.0,249.0,237.0
76.0,806.0,238.0,238.0
66.0,815.0,239.0,239.0
73.0,802.0,245.0,240.0
78.0,801.0,241.0,241.0
76.0,805.0,239.0,242.0
72.0,803.0,245.0,243.0
81.0,800.0,239.0,244.0
72.0,807.0,241.0,245.0
64.0,811.0,245.0,246.0
71.0,802.0,247.0,247.0
72.0,815.0,233.0,248.0
58.0,816.0,246.0,249.0
66.0,811.0,243.0,250.0
59.0,808.0,253.0,251.0
74.0,806.0,240.0,252.0
69.0,814.0,237.0,253.0
56.0,825.0,239.0,254.0
54.0,796.0,270.0,255.0
89.0,777.0,254.0,256.0
76.0,791.0,253.0,257.0
69.0,801.0,250.0,258.0
71.0,797.0,252.0,259.0
74.0,803.0,243.0,260.0
66.0,799.0,255.0,261.0
73.0,795.0,252.0,262.0
70.0,802.0,248.0,263.0
68.0,804.0,248.0,264.0
66.0,800.0,254.0,265.0
76.0,797.0,247.0,266.0
68.0,801.0,251.0,267.0
66.0,815.0,239.0,268.0
57.0,821.0,242.0,269.0
55.0,817.0,248.0,270.0
63.0,812.0,245.0,271.0
56.0,814.0,250.0,272.0
62.0,808.0,250.0,273.0
65.0,809.0,246.0,274.0
61.0,803.0,256.0,275.0
75.0,799.0,246.0,276.0
63.0,800.0,257.0,277.0
74.0,798.0,248.0,278.0
67.0,807.0,246.0,279.0
65.0,793.0,262.0,280.0
78.0,796.0,246.0,281.0
62.0,818.0,240.0,282.0
59.0,818.0,243.0,283.0
63.0,821.0,236.0,284.0
53.0,815.0,252.0,285.0
65.0,803.0,252.0,286.0
73.0,793.0,254.0,287.0
76.0,793.0,251.0,288.0
73.0,811.0,236.0,289.0
55.0,815.0,250.0,290.0
65.0,801.0,254.0,291.0
67.0,802.0,251.0,292.0
72.0,785.0,263.0,293.0
