"Active People","Jailed People","Quiet People","tick"
984.0,0.0,136.0,1.0
527.0,531.0,62.0,2.0
322.0,716.0,82.0,3.0
272.0,767.0,81.0,4.0
240.0,798.0,82.0,5.0
213.0,817.0,90.0,6.0
186.0,837.0,97.0,7.0
164.0,853.0,103.0,8.0
154.0,860.0,106.0,9.0
149.0,859.0,112.0,10.0
147.0,871.0,102.0,11.0
133.0,870.0,117.0,12.0
136.0,864.0,120.0,13.0
162.0,859.0,99.0,14.0
135.0,879.0,106.0,15.0
149.0,868.0,103.0,16.0
137.0,872.0,111.0,17.0
129.0,877.0,114.0,18.0
124.0,872.0,124.0,19.0
147.0,851.0,122.0,20.0
152.0,845.0,123.0,21.0
148.0,838.0,134.0,22.0
168.0,837.0,115.0,23.0
139.0,842.0,139.0,24.0
155.0,830.0,135.0,25.0
179.0,815.0,126.0,26.0
155.0,843.0,122.0,27.0
141.0,845.0,134.0,28.0
173.0,808.0,139.0,29.0
197.0,800.0,123.0,30.0
194.0,798.0,128.0,31.0
202.0,817.0,101.0,32.0
188.0,824.0,108.0,33.0
177.0,825.0,118.0,34.0
195.0,815.0,110.0,35.0
183.0,833.0,104.0,36.0
181.0,842.0,97.0,37.0
168.0,841.0,111.0,38.0
161.0,846.0,113.0,39.0
162.0,843.0,115.0,40.0
177.0,818.0,125.0,41.0
175.0,836.0,109.0,42.0
158.0,837.0,125.0,43.0
159.0,830.0,131.0,44.0
175.0,826.0,119.0,45.0
151.0,839.0,130.0,46.0
145.0,832.0,143.0,47.0
164.0,810.0,146.0,48.0
181.0,795.0,144.0,49.0
183.0,806.0,131.0,50.0
182.0,825.0,113.0,51.0
168.0,822.0,130.0,52.0
165.0,821.0,134.0,53.0
142.0,835.0,143.0,54.0
156.0,822.0,142.0,55.0
177.0,811.0,132.0,56.0
180.0,801.0,139.0,57.0
192.0,796.0,132.0,58.0
179.0,815.0,126.0,59.0
188.0,806.0,126.0,60.0
174.0,825.0,121.0,61.0
165.0,824.0,131.0,62.0
139.0,821.0,160.0,63.0
182.0,824.0,114.0,64.0
173.0,829.0,118.0,65.0
190.0,832.0,98.0,66.0
158.0,845.0,117.0,67.0
158.0,832.0,130.0,68.0
181.0,820.0,119.0,69.0
171.0,823.0,126.0,70.0
184.0,802.0,134.0,71.0
179.0,799.0,142.0,72.0
188.0,815.0,117.0,73.0
176.0,819.0,125.0,74.0
183.0,815.0,122.0,75.0
187.0,803.0,130.0,76.0
186.0,817.0,117.0,77.0
156.0,832.0,132.0,78.0
155.0,840.0,125.0,79.0
145.0,846.0,129.0,80.0
147.0,839.0,134.0,81.0
150.0,826.0,144.0,82.0
152.0,831.0,137.0,83.0
183.0,809.0,128.0,84.0
178.0,820.0,122.0,85.0
138.0,853.0,129.0,86.0
159.0,836.0,125.0,87.0
147.0,837.0,136.0,88.0
158.0,835.0,127.0,89.0
174.0,830.0,116.0,90.0
170.0,844.0,106.0,91.0
154.0,861.0,105.0,92.0
130.0,863.0,127.0,93.0
137.0,846.0,137.0,94.0
150.0,836.0,134.0,95.0
154.0,844.0,122.0,96.0
154.0,837.0,129.0,97.0
151.0,831.0,138.0,98.0
163.0,834.0,123.0,99.0
157.0,863.0,100.0,100.0
151.0,852.0,117.0,101.0
153.0,844.0,123.0,102.0
162.0,830.0,128.0,103.0
151.0,839.0,130.0,104.0
162.0,832.0,126.0,105.0
162.0,823.0,135.0,106.0
160.0,826.0,134.0,107.0
162.0,812.0,146.0,108.0
198.0,799.0,123.0,109.0
175.0,829.0,116.0,110.0
155.0,843.0,122.0,111.0
150.0,829.0,141.0,112.0
163.0,833.0,124.0,113.0
160.0,838.0,122.0,114.0
176.0,828.0,116.0,115.0
184.0,833.0,103.0,116.0
159.0,836.0,125.0,117.0
168.0,820.0,132.0,118.0
175.0,824.0,121.0,119.0
182.0,820.0,118.0,120.0
164.0,824.0,132.0,121.0
166.0,811.0,143.0,122.0
185.0,793.0,142.0,123.0
183.0,799.0,138.0,124.0
181.0,799.0,140.0,125.0
182.0,807.0,131.0,126.0
165.0,827.0,128.0,127.0
161.0,826.0,133.0,128.0
159.0,819.0,142.0,129.0
159.0,831.0,130.0,130.0
154.0,831.0,135.0,131.0
136.0,834.0,150.0,132.0
154.0,815.0,151.0,133.0
151.0,816.0,153.0,134.0
183.0,806.0,131.0,135.0
176.0,826.0,118.0,136.0
165.0,847.0,108.0,137.0
150.0,838.0,132.0,138.0
168.0,826.0,126.0,139.0
165.0,857.0,98.0,140.0
170.0,829.0,121.0,141.0
163.0,828.0,129.0,142.0
158.0,828.0,134.0,143.0
173.0,817.0,130.0,144.0
177.0,825.0,118.0,145.0
168.0,833.0,119.0,146.0
165.0,835.0,120.0,147.0
152.0,857.0,111.0,148.0
137.0,854.0,129.0,149.0
148.0,843.0,129.0,150.0
