"Active People","Jailed People","Quiet People","tick"
1120.0,0.0,0.0,1.0
36.0,1056.0,28.0,2.0
30.0,1047.0,43.0,3.0
44.0,1040.0,36.0,4.0
37.0,1044.0,39.0,5.0
40.0,1045.0,35.0,6.0
37.0,1041.0,42.0,7.0
43.0,1042.0,35.0,8.0
36.0,1040.0,44.0,9.0
45.0,1030.0,45.0,10.0
47.0,1024.0,49.0,11.0
51.0,1013.0,56.0,12.0
57.0,1015.0,48.0,13.0
48.0,1016.0,56.0,14.0
57.0,1002.0,61.0,15.0
66.0,986.0,68.0,16.0
72.0,1003.0,45.0,17.0
47.0,1014.0,59.0,18.0
61.0,990.0,69.0,19.0
74.0,983.0,63.0,20.0
66.0,994.0,60.0,21.0
62.0,993.0,65.0,22.0
66.0,987.0,67.0,23.0
68.0,964.0,88.0,24.0
91.0,958.0,71.0,25.0
77.0,968.0,75.0,26.0
81.0,950.0,89.0,27.0
92.0,960.0,68.0,28.0
71.0,965.0,84.0,29.0
85.0,944.0,91.0,30.0
96.0,929.0,95.0,31.0
67.0,957.0,96.0,32.0
63.0,964.0,93.0,33.0
57.0,969.0,94.0,34.0
58.0,960.0,102.0,35.0
66.0,964.0,90.0,36.0
48.0,990.0,82.0,37.0
38.0,970.0,112.0,38.0
68.0,939.0,113.0,39.0
66.0,938.0,116.0,40.0
67.0,946.0,107.0,41.0
60.0,943.0,117.0,42.0
68.0,945.0,107.0,43.0
57.0,951.0,112.0,44.0
61.0,954.0,105.0,45.0
52.0,936.0,132.0,46.0
81.0,910.0,129.0,47.0
77.0,914.0,129.0,48.0
74.0,917.0,129.0,49.0
69.0,919.0,132.0,50.0
68.0,925.0,127.0,51.0
59.0,933.0,128.0,52.0
57.0,925.0,138.0,53.0
68.0,908.0,144.0,54.0
67.0,911.0,142.0,55.0
65.0,915.0,140.0,56.0
62.0,911.0,147.0,57.0
68.0,893.0,159.0,58.0
77.0,912.0,131.0,59.0
48.0,921.0,151.0,60.0
64.0,903.0,153.0,61.0
63.0,907.0,150.0,62.0
60.0,909.0,151.0,63.0
57.0,902.0,161.0,64.0
65.0,908.0,147.0,65.0
51.0,921.0,148.0,66.0
46.0,906.0,168.0,67.0
61.0,881.0,178.0,68.0
72.0,873.0,175.0,69.0
68.0,887.0,165.0,70.0
53.0,891.0,176.0,71.0
63.0,869.0,188.0,72.0
78.0,858.0,184.0,73.0
69.0,869.0,182.0,74.0
62.0,870.0,188.0,75.0
63.0,883.0,174.0,76.0
50.0,876.0,194.0,77.0
67.0,852.0,201.0,78.0
71.0,853.0,196.0,79.0
65.0,856.0,199.0,80.0
69.0,866.0,185.0,81.0
50.0,878.0,192.0,82.0
53.0,862.0,205.0,83.0
67.0,844.0,209.0,84.0
70.0,850.0,200.0,85.0
58.0,860.0,202.0,86.0
55.0,865.0,200.0,87.0
48.0,875.0,197.0,88.0
44.0,867.0,209.0,89.0
51.0,852.0,217.0,90.0
58.0,842.0,220.0,91.0
59.0,837.0,224.0,92.0
61.0,835.0,224.0,93.0
64.0,829.0,227.0,94.0
59.0,836.0,225.0,95.0
56.0,831.0,233.0,96.0
66.0,817.0,237.0,97.0
66.0,819.0,235.0,98.0
66.0,826.0,228.0,99.0
56.0,844.0,220.0,100.0
45.0,825.0,250.0,101.0
73.0,810.0,237.0,102.0
57.0,828.0,235.0,103.0
55.0,833.0,232.0,104.0
49.0,826.0,245.0,105.0
60.0,822.0,238.0,106.0
53.0,832.0,235.0,107.0
50.0,836.0,234.0,108.0
45.0,829.0,246.0,109.0
54.0,810.0,256.0,110.0
65.0,796.0,259.0,111.0
68.0,804.0,248.0,112.0
54.0,815.0,251.0,113.0
54.0,808.0,258.0,114.0
62.0,803.0,255.0,115.0
52.0,812.0,256.0,116.0
55.0,811.0,254.0,117.0
52.0,804.0,264.0,118.0
58.0,793.0,269.0,119.0
64.0,786.0,270.0,120.0
63.0,786.0,271.0,121.0
66.0,790.0,264.0,122.0
58.0,797.0,265.0,123.0
54.0,800.0,266.0,124.0
51.0,802.0,267.0,125.0
52.0,793.0,275.0,126.0
62.0,788.0,270.0,127.0
57.0,783.0,280.0,128.0
60.0,789.0,271.0,129.0
50.0,792.0,278.0,130.0
51.0,783.0,286.0,131.0
61.0,795.0,264.0,132.0
36.0,785.0,299.0,133.0
68.0,772.0,280.0,134.0
48.0,782.0,290.0,135.0
