"Active People","Jailed People","Quiet People","tick"
1120.0,0.0,0.0,1.0
41.0,1046.0,33.0,2.0
35.0,1052.0,33.0,3.0
35.0,1037.0,48.0,4.0
51.0,1031.0,38.0,5.0
41.0,1041.0,38.0,6.0
40.0,1034.0,46.0,7.0
50.0,1019.0,51.0,8.0
55.0,1022.0,43.0,9.0
43.0,1031.0,46.0,10.0
47.0,1023.0,50.0,11.0
50.0,1019.0,51.0,12.0
51.0,1034.0,35.0,13.0
37.0,1029.0,54.0,14.0
57.0,999.0,64.0,15.0
66.0,1005.0,49.0,16.0
52.0,1016.0,52.0,17.0
52.0,1007.0,61.0,18.0
61.0,994.0,65.0,19.0
69.0,975.0,76.0,20.0
79.0,971.0,70.0,21.0
71.0,981.0,68.0,22.0
69.0,984.0,67.0,23.0
72.0,980.0,68.0,24.0
70.0,982.0,68.0,25.0
69.0,980.0,71.0,26.0
73.0,955.0,92.0,27.0
92.0,941.0,87.0,28.0
89.0,945.0,86.0,29.0
88.0,952.0,80.0,30.0
81.0,939.0,100.0,31.0
60.0,952.0,108.0,32.0
66.0,944.0,110.0,33.0
65.0,938.0,117.0,34.0
71.0,938.0,111.0,35.0
66.0,936.0,118.0,36.0
72.0,945.0,103.0,37.0
57.0,947.0,116.0,38.0
67.0,948.0,105.0,39.0
56.0,946.0,118.0,40.0
66.0,941.0,113.0,41.0
60.0,934.0,126.0,42.0
70.0,930.0,120.0,43.0
63.0,946.0,111.0,44.0
51.0,956.0,113.0,45.0
53.0,949.0,118.0,46.0
57.0,947.0,116.0,47.0
54.0,932.0,134.0,48.0
68.0,912.0,140.0,49.0
74.0,929.0,117.0,50.0
46.0,949.0,125.0,51.0
52.0,930.0,138.0,52.0
62.0,919.0,139.0,53.0
60.0,909.0,151.0,54.0
71.0,909.0,140.0,55.0
64.0,899.0,157.0,56.0
76.0,889.0,155.0,57.0
71.0,886.0,163.0,58.0
78.0,891.0,151.0,59.0
60.0,922.0,138.0,60.0
43.0,890.0,187.0,61.0
87.0,880.0,153.0,62.0
51.0,895.0,174.0,63.0
70.0,889.0,161.0,64.0
54.0,899.0,167.0,65.0
57.0,889.0,174.0,66.0
66.0,878.0,176.0,67.0
67.0,864.0,189.0,68.0
73.0,872.0,175.0,69.0
58.0,875.0,187.0,70.0
71.0,883.0,166.0,71.0
48.0,883.0,189.0,72.0
65.0,858.0,197.0,73.0
71.0,857.0,192.0,74.0
65.0,855.0,200.0,75.0
69.0,862.0,189.0,76.0
57.0,870.0,193.0,77.0
58.0,880.0,182.0,78.0
49.0,885.0,186.0,79.0
51.0,878.0,191.0,80.0
51.0,854.0,215.0,81.0
75.0,849.0,196.0,82.0
57.0,865.0,198.0,83.0
55.0,869.0,196.0,84.0
52.0,855.0,213.0,85.0
66.0,846.0,208.0,86.0
60.0,845.0,215.0,87.0
64.0,851.0,205.0,88.0
51.0,854.0,215.0,89.0
58.0,846.0,216.0,90.0
59.0,846.0,215.0,91.0
55.0,839.0,226.0,92.0
60.0,833.0,227.0,93.0
62.0,846.0,212.0,94.0
43.0,845.0,232.0,95.0
58.0,830.0,232.0,96.0
56.0,827.0,237.0,97.0
58.0,814.0,248.0,98.0
68.0,795.0,257.0,99.0
75.0,808.0,237.0,100.0
52.0,823.0,245.0,101.0
60.0,820.0,240.0,102.0
53.0,837.0,230.0,103.0
41.0,812.0,267.0,104.0
76.0,799.0,245.0,105.0
56.0,817.0,247.0,106.0
50.0,819.0,251.0,107.0
49.0,819.0,252.0,108.0
47.0,804.0,269.0,109.0
62.0,800.0,258.0,110.0
48.0,812.0,260.0,111.0
49.0,801.0,270.0,112.0
58.0,802.0,260.0,113.0
42.0,801.0,277.0,114.0
55.0,788.0,277.0,115.0
55.0,784.0,281.0,116.0
52.0,789.0,279.0,117.0
51.0,786.0,283.0,118.0
53.0,777.0,290.0,119.0
59.0,780.0,281.0,120.0
51.0,780.0,289.0,121.0
55.0,781.0,284.0,122.0
50.0,773.0,297.0,123.0
58.0,766.0,296.0,124.0
57.0,770.0,293.0,125.0
54.0,766.0,300.0,126.0
57.0,763.0,300.0,127.0
55.0,762.0,303.0,128.0
55.0,753.0,312.0,129.0
59.0,746.0,315.0,130.0
54.0,741.0,325.0,131.0
64.0,752.0,304.0,132.0
40.0,751.0,329.0,133.0
66.0,732.0,322.0,134.0
61.0,738.0,321.0,135.0
50.0,746.0,324.0,136.0
54.0,731.0,335.0,137.0
63.0,738.0,319.0,138.0
52.0,739.0,329.0,139.0
60.0,741.0,319.0,140.0
43.0,766.0,311.0,141.0
38.0,757.0,325.0,142.0
51.0,733.0,336.0,143.0
58.0,732.0,330.0,144.0
50.0,742.0,328.0,145.0
44.0,744.0,332.0,146.0
49.0,732.0,339.0,147.0
52.0,733.0,335.0,148.0
53.0,727.0,340.0,149.0
55.0,726.0,339.0,150.0
