"Active People","Jailed People","Quiet People","tick"
930.0,0.0,190.0,1.0
539.0,544.0,37.0,2.0
242.0,834.0,44.0,3.0
151.0,901.0,68.0,4.0
133.0,929.0,58.0,5.0
99.0,946.0,75.0,6.0
85.0,954.0,81.0,7.0
85.0,942.0,93.0,8.0
89.0,919.0,112.0,9.0
111.0,905.0,104.0,10.0
120.0,876.0,124.0,11.0
143.0,867.0,110.0,12.0
160.0,864.0,96.0,13.0
137.0,878.0,105.0,14.0
130.0,881.0,109.0,15.0
138.0,884.0,98.0,16.0
131.0,876.0,113.0,17.0
138.0,871.0,111.0,18.0
151.0,857.0,112.0,19.0
132.0,863.0,125.0,20.0
144.0,850.0,126.0,21.0
158.0,843.0,119.0,22.0
148.0,850.0,122.0,23.0
163.0,838.0,119.0,24.0
169.0,835.0,116.0,25.0
152.0,844.0,124.0,26.0
156.0,830.0,134.0,27.0
176.0,815.0,129.0,28.0
168.0,815.0,137.0,29.0
170.0,810.0,140.0,30.0
164.0,793.0,163.0,31.0
207.0,766.0,147.0,32.0
195.0,809.0,116.0,33.0
160.0,843.0,117.0,34.0
147.0,847.0,126.0,35.0
143.0,841.0,136.0,36.0
159.0,838.0,123.0,37.0
136.0,855.0,129.0,38.0
138.0,845.0,137.0,39.0
157.0,835.0,128.0,40.0
145.0,839.0,136.0,41.0
165.0,816.0,139.0,42.0
163.0,824.0,133.0,43.0
172.0,822.0,126.0,44.0
164.0,834.0,122.0,45.0
157.0,832.0,131.0,46.0
172.0,827.0,121.0,47.0
180.0,827.0,113.0,48.0
186.0,821.0,113.0,49.0
177.0,828.0,115.0,50.0
173.0,827.0,120.0,51.0
175.0,819.0,126.0,52.0
165.0,837.0,118.0,53.0
143.0,837.0,140.0,54.0
139.0,829.0,152.0,55.0
165.0,817.0,138.0,56.0
160.0,825.0,135.0,57.0
157.0,850.0,113.0,58.0
119.0,867.0,134.0,59.0
131.0,849.0,140.0,60.0
142.0,851.0,127.0,61.0
164.0,837.0,119.0,62.0
139.0,851.0,130.0,63.0
176.0,850.0,94.0,64.0
172.0,858.0,90.0,65.0
154.0,868.0,98.0,66.0
151.0,868.0,101.0,67.0
148.0,868.0,104.0,68.0
133.0,869.0,118.0,69.0
125.0,878.0,117.0,70.0
136.0,864.0,120.0,71.0
135.0,869.0,116.0,72.0
132.0,864.0,124.0,73.0
140.0,841.0,139.0,74.0
160.0,847.0,113.0,75.0
153.0,845.0,122.0,76.0
128.0,865.0,127.0,77.0
153.0,845.0,122.0,78.0
152.0,847.0,121.0,79.0
144.0,856.0,120.0,80.0
148.0,849.0,123.0,81.0
149.0,840.0,131.0,82.0
159.0,835.0,126.0,83.0
141.0,833.0,146.0,84.0
168.0,835.0,117.0,85.0
143.0,837.0,140.0,86.0
145.0,832.0,143.0,87.0
166.0,821.0,133.0,88.0
202.0,802.0,116.0,89.0
194.0,829.0,97.0,90.0
142.0,861.0,117.0,91.0
175.0,851.0,94.0,92.0
158.0,858.0,104.0,93.0
147.0,865.0,108.0,94.0
127.0,848.0,145.0,95.0
165.0,825.0,130.0,96.0
160.0,824.0,136.0,97.0
169.0,811.0,140.0,98.0
160.0,798.0,162.0,99.0
187.0,790.0,143.0,100.0
152.0,824.0,144.0,101.0
161.0,831.0,128.0,102.0
150.0,844.0,126.0,103.0
156.0,835.0,129.0,104.0
155.0,832.0,133.0,105.0
156.0,829.0,135.0,106.0
167.0,847.0,106.0,107.0
139.0,861.0,120.0,108.0
142.0,860.0,118.0,109.0
113.0,864.0,143.0,110.0
132.0,864.0,124.0,111.0
129.0,870.0,121.0,112.0
116.0,872.0,132.0,113.0
122.0,862.0,136.0,114.0
135.0,853.0,132.0,115.0
138.0,854.0,128.0,116.0
121.0,858.0,141.0,117.0
147.0,850.0,123.0,118.0
146.0,844.0,130.0,119.0
143.0,850.0,127.0,120.0
152.0,850.0,118.0,121.0
137.0,875.0,108.0,122.0
134.0,863.0,123.0,123.0
147.0,842.0,131.0,124.0
151.0,841.0,128.0,125.0
163.0,836.0,121.0,126.0
135.0,850.0,135.0,127.0
157.0,839.0,124.0,128.0
141.0,853.0,126.0,129.0
137.0,861.0,122.0,130.0
138.0,866.0,116.0,131.0
143.0,856.0,121.0,132.0
144.0,855.0,121.0,133.0
153.0,831.0,136.0,134.0
149.0,814.0,157.0,135.0
176.0,808.0,136.0,136.0
187.0,824.0,109.0,137.0
151.0,857.0,112.0,138.0
151.0,857.0,112.0,139.0
158.0,862.0,100.0,140.0
159.0,834.0,127.0,141.0
173.0,827.0,120.0,142.0
165.0,842.0,113.0,143.0
158.0,839.0,123.0,144.0
139.0,851.0,130.0,145.0
150.0,855.0,115.0,146.0
131.0,861.0,128.0,147.0
153.0,849.0,118.0,148.0
120.0,868.0,132.0,149.0
120.0,839.0,161.0,150.0
